Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1978,,,,,,,,,,,62808.274,508314.173,285561.2235
1979,1331383.907,1489588.82,1557040.313,1317552.289,455053.378,92719.939,0,0,0,39773.869,111626.766,521691.005,576369.1905
1980,1019653.214,1384674.018,1427652.921,1287388.747,626577.653,144663.793,0,0,0,31895.64,80676.968,269746.7,522744.1378
1981,754332.799,1213588.951,1308708.637,976907.321,235586.087,71065.616,0,0,0,37581.392,67168.833,303618.369,414046.5004
1982,913020.636,1204306.802,1296566.504,1062017.22,408076.67,83465.5,0,0,0,36261.485,85568.531,561451.698,470894.5872
1983,923788.669,1359225.032,1362583.311,877508.289,229534.919,96977.448,0,0,0,45867.647,65314.668,260848.965,435137.4123
1984,616110.372,821842.192,881523.623,728338.453,201196.453,91749.388,0,0,0,34093.157,89679.161,473872.001,328200.4
1985,992464.945,1144843.514,1226691.511,791869.479,451311.639,122317.603,0,0,0,34681.134,64082.019,331526.354,429982.3498
1986,865254.215,1238428.547,1233599.669,807585.641,210035.64,76458.575,0,0,0,36526.874,65916.265,293800.464,402300.4908
1987,936449.115,1272915.621,1074878.08,796337.498,240859.811,96544.796,0,0,0,34919.868,69084.841,,411089.9664
1988,,1165733.98,1267527.299,794499.009,287526.644,91123.725,0,0,0,32793.05,66194.544,182088.483,353407.8849
1989,668419.426,1063563.593,1022348.338,610095.335,203111.773,87931.696,0,0,0,39646.337,73408.282,297180.327,338808.7589
1990,742748.246,1155306.202,1166566.598,629003.963,175957.505,74145.912,0,0,0,51949.626,83065.799,266542.732,362107.2153
1991,499873.395,720903.768,944476.224,716202.496,190586.361,88742.318,0,0,0,42868.398,69789.742,248043.959,293457.2218
1992,817187.554,1099702.306,1057056.981,665915.233,225985.356,81526.164,0,0,0,43320.124,86784.88,412274.03,374146.0523
1993,845081.887,1119362.579,1168045.321,812281.864,224069.043,82541.408,0,0,0,45660.449,75871.868,456201.205,402426.302
1994,889896.367,1075910.6,904737.113,691340.732,306876.353,153167.94,0,0,0,47744.572,96689.372,435208.688,383464.3114
1995,890227.964,1023279.132,1033959.649,783540,283762.483,97018.974,0,0,0,37201.619,81602.478,169962.3,366712.8833
1996,487830.451,807849.153,1056605.645,537843.472,156041.042,76531.88,0,0,0,49005.003,66983.237,299575.612,294855.4579
1997,630980.18,898514.091,965466.287,488025.123,131337.291,67845.1,0,0,0,47101.344,45208.998,297120.961,297633.2813
1998,778279.962,1141280.533,1203410.701,803237.023,313429.14,89429.681,0,0,0,31736.316,88304.297,561656.873,417563.7105
1999,775982.742,1087063.48,1203888.215,1044296.082,400958.328,118541.057,0,0,0,41015.925,58291.94,243067.352,414425.4268
2000,645459.135,1223652.658,1332954.003,857154.368,224851.143,69954.756,0,0,0,37389.625,89972.11,515485.109,416406.0756
2001,1007319.485,1468192.107,1487966.513,1010019.441,514258.086,142489.53,0,0,0,34571.267,58307.228,366280.871,507450.3773
2002,827314.091,1183557.063,1288966.72,882138.642,258756.109,64234.638,0,0,0,34873.092,63166.58,340892.003,411991.5782
2003,938178.432,1173095.214,1213960.872,840951.694,202579.593,71169.148,0,0,0,32941.945,61181.782,369475.198,408627.8232
2004,824903.796,1053927.561,1032047.711,583204.499,183655.28,78031.13,0,0,0,29682.074,51755.08,353268.071,349206.2668
2005,707105.131,895913.877,919748.836,587343.183,261089.97,96561.034,0,0,0,36391.921,54977.829,180006.17,311594.8293
2006,528829.46,836673.093,845614.13,625431.413,222593.533,77851.535,0,0,0,33541.691,51541.542,325702.037,295648.2028
2007,805773.272,1102088.563,951692.352,584868.514,215068.492,69231.482,0,0,0,33463.93,47739.811,229326.26,336604.3897
2008,707690.318,1099405.323,923272.477,596841.319,242323.231,69163.717,0,0,0,40329.77,62208.65,202932.128,328680.5778
2009,514598.578,873454.085,872021.396,524071.487,272192.296,75705.968,0,0,0,43339.214,57580.493,274477.464,292286.7484
2010,618616.262,912871.175,1108606.518,886169.97,319185.65,83664.868,0,0,0,34895.422,57373.092,196211.263,351466.185
2011,550726.556,876450.952,961428.151,697230.172,239971.36,70188.596,0,0,0,44719.378,72838.986,377921.583,324289.6445
2012,700787.865,1039022.702,1191668.973,824934.852,275093.991,80580.326,0,0,0,53064.125,63267.836,212788.272,370100.7452
2013,726586.656,980998.78,1091622.992,614560.298,293902.966,115988.478,0,0,0,36579.356,70013.532,141770.03,339335.2573
2014,573971.98,926184.184,918570.434,531201.443,145800.671,62358.023,0,0,0,50950.588,65362.32,264858.619,294938.1885
2015,575263.37,688741.28,658904.442,575521.746,215147.32,90045.811,0,0,0,51723.665,66943.602,235460.672,263145.9923
2016,666707.674,1076590.826,1081967.383,652956.745,219761.427,76848.016,0,0,0,46248.4,87447.705,390106.131,358219.5256
2017,785991.573,950613.012,779609.118,458689.775,156776.037,71682.874,0,0,0,41131.319,68022.959,342970.061,304623.894
2018,665766.234,945967.285,1124576.976,791200.019,182261.008,62919.555,0,0,0,44354.056,60878.998,230296.109,342351.6867
2019,673499.245,1103262.291,1198304.292,579669.541,150012.807,69122.179,0,0,0,43193.797,82076.313,251762.082,345908.5456
2020,725353.239,1053560.737,1027793.147,522566.692,176155.245,77410.677,0,0,0,48532.434,62348.537,269860.084,330298.3993
2021,832022.773,1020071.242,1134338.374,703811.214,253727.176,90378.245,0,0,0,39677.454,66742.909,293583.174,369529.3801
2022,620748.736,766735.127,780956.724,523097.19,165280.953,74236.74,0,0,0,39152.655,63282.686,305214.184,278225.4163
2023,662567.796,984314.114,920694.112,587877.367,202519.542,70156.053,9570.249,15705.532,1609.568,41891.123,62764.632,328801.802,324039.3242